iteration,loss
0,0.156391
1000,0.001452
2000,0.001067
3000,0.000871
4000,0.000810
5000,0.000738
6000,0.000737
7000,0.000691
8000,0.000682
9000,0.000676
10000,0.000665
11000,0.000654
12000,0.000657
13000,0.000645
14000,0.000642
15000,0.000644
16000,0.000630
17000,0.000637
18000,0.000626
19000,0.000634
20000,0.000624
21000,0.000623
22000,0.000627
23000,0.000622
24000,0.000619
25000,0.000631
26000,0.000618
27000,0.000621
28000,0.000623
29000,0.000612
30000,0.000622
31000,0.000614
32000,0.000619
33000,0.000614
34000,0.000611
35000,0.000617
36000,0.000614
37000,0.000611
38000,0.000621
39000,0.000608
40000,0.000616
41000,0.000616
42000,0.000607
43000,0.000615
44000,0.000611
45000,0.000615
46000,0.000611
47000,0.000606
48000,0.000615
49000,0.000612
50000,0.000608
51000,0.000618
52000,0.000606
53000,0.000613
54000,0.000612
55000,0.000608
56000,0.000612
57000,0.000609
58000,0.000612
59000,0.000610
60000,0.000607
61000,0.000615
62000,0.000609
63000,0.000608
64000,0.000618
65000,0.000604
66000,0.000612
67000,0.000611
68000,0.000608
69000,0.000610
70000,0.000609
71000,0.000612
72000,0.000610
73000,0.000604
74000,0.000616
75000,0.000607
76000,0.000609
77000,0.000616
78000,0.000604
79000,0.000613
80000,0.000610
81000,0.000609
82000,0.000609
83000,0.000609
84000,0.000612
85000,0.000610
86000,0.000603
87000,0.000618
88000,0.000606
89000,0.000608
90000,0.000617
91000,0.000604
92000,0.000615
93000,0.000610
94000,0.000611
95000,0.000608
96000,0.000610
97000,0.000612
98000,0.000611
99000,0.000604
